alpha = 0.29999996    omega = 0.99996851
   t       U          U'     Flag
---------------------------------
  0.4   0.766359   1.791685   2
  0.8   1.406129   1.377209   2
  1.2   1.845794   0.794166   2
  1.6   2.020874   0.057893   2
  2.0   1.879071  -0.771424   2
  2.4   1.415387  -1.510619   2
  2.8   0.713707  -1.933488   2
  3.2  -0.081218  -1.985083   2
  3.6  -0.836860  -1.754388   2
  4.0  -1.458268  -1.323208   2
  4.4  -1.873292  -0.725112   2
  4.8  -2.018082   0.023556   2
  5.2  -1.843022   0.852943   2
  5.6  -1.350723   1.568040   2
  6.0  -0.633747   1.952111   2
  6.4   0.161669   1.970799   2
  6.8   0.906802   1.717482   2
  7.2   1.509895   1.268998   2
  7.6   1.900050   0.655152   2
  8.0   2.014115  -0.106116   2
  8.4   1.805539  -0.934371   2
  8.8   1.285056  -1.623509   2
  9.2   0.553678  -1.968532   2
  9.6  -0.241491  -1.955037   2
 10.0  -0.975620  -1.679489   2
 10.4  -1.559960  -1.213634   2
 10.8  -1.924744  -0.583853   2
 11.2  -2.007594   0.189593   2
 11.6  -1.765466   1.014813   2
 12.0  -1.217667   1.675859   2
 12.4  -0.473213   1.981790   2
 12.8   0.320640   1.937087   2
 13.2   1.043027   1.639899   2
 13.6   1.608008   1.156781   2
 14.0   1.946821   0.511088   2
 14.4   1.997977  -0.273791   2
 14.8   1.722414  -1.093725   2
 15.2   1.148392  -1.724571   2
 15.6   0.392348  -1.991590   2
 16.0  -0.399021  -1.916749   2

 Оценка влияния погрешности исходных данных на точность:

alpha = 0.29699996    omega = 0.98996882
   t       U          U'     Flag
---------------------------------
  0.4  -1.354860  -3.621517   2
  0.8  -2.496311  -2.213171   2
  1.2  -3.157159  -1.087587   2
  1.6  -3.348945   0.158556   2
  2.0  -3.017031   1.485093   2
  2.4  -2.213618   2.422781   2
  2.8  -1.170424   2.695164   2
  3.2  -0.115344   2.530991   2
  3.6   0.825722   2.147116   2
  4.0   1.583407   1.618686   2
  4.4   2.102040   0.949593   2
  4.8   2.322399   0.126802   2
  5.2   2.188135  -0.804955   2
  5.6   1.690886  -1.639235   2
  6.0   0.927100  -2.105486   2
  6.4   0.062575  -2.156976   2
  6.8  -0.759752  -1.916116   2
  7.2  -1.444588  -1.479785   2
  7.6  -1.922252  -0.882296   2
  8.0  -2.129849  -0.131503   2
  8.4  -2.012944   0.723298   2
  8.8  -1.560577   1.504209   2
  9.2  -0.852529   1.970130   2
  9.6  -0.036541   2.051435   2
 10.0   0.749803   1.840665   2
 10.4   1.409318   1.427659   2
 10.8   1.870108   0.849854   2
 11.2   2.068776   0.119827   2
 11.6   1.951953  -0.710832   2
 12.0   1.509109  -1.470638   2
 12.4   0.816511  -1.928997   2
 12.8   0.016463  -2.013934   2
 13.2  -0.756155  -1.809537   2
 13.6  -1.404365  -1.402064   2
 14.0  -1.855879  -0.829046   2
 14.4  -2.047276  -0.104582   2
 14.8  -1.925892   0.717846   2
 15.2  -1.482311   1.467269   2
 15.6  -0.792819   1.917598   2
 16.0   0.001840   1.999030   2
